2026-03-23 16:04:39 | INFO | backfill_excerpts | Excerpt actualizado noticia_id=6 fuente=walmartchile title=Walmart Chile y Desafío Levantemos Chile impulsan reconstrucción de dos sedes so
2026-03-23 16:04:40 | INFO | httpx | HTTP Request: GET https://www.walmartchile.cl/un-nuevo-comienzo-en-temuco-reabrimos-nuestro-supermercado-lider-prieto/ "HTTP/1.1 200 OK"
2026-03-23 16:04:40 | INFO | backfill_excerpts | Excerpt actualizado noticia_id=5 fuente=walmartchile title=Un nuevo comienzo en Temuco: reabrimos nuestro supermercado Lider Prieto
2026-03-23 16:04:41 | INFO | httpx | HTTP Request: GET https://www.walmartchile.cl/walmart-chile-comparte-los-buenos-resultados-de-2025-con-la-operacion-a-traves-de-un-bono-por-us25-millones/ "HTTP/1.1 200 OK"
2026-03-23 16:04:41 | INFO | backfill_excerpts | Excerpt actualizado noticia_id=4 fuente=walmartchile title=Walmart Chile comparte los buenos resultados de 2025 con la operación a través d
2026-03-23 16:04:43 | INFO | httpx | HTTP Request: GET https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2026/03/17/fiscalia-sur-pide-formalizar-a-7-exfuncionarios-de-policia-local-de-la-granja-por-fraude-de-multas-tag.shtml "HTTP/1.1 200 OK"
2026-03-23 16:04:43 | INFO | backfill_excerpts | Excerpt actualizado noticia_id=3 fuente=biobiochile title=Fiscalía Sur pide formalizar a 7 exfuncionarios de Policía Local de La Granja po
2026-03-23 16:04:44 | INFO | httpx | HTTP Request: GET https://www.meganoticias.cl/nacional/517215-tienda-de-ropa-liquidacion-descuentos-17-03-2026.html "HTTP/1.1 200 OK"
2026-03-23 16:04:44 | INFO | backfill_excerpts | Excerpt actualizado noticia_id=2 fuente=Meganoticias title=Por cierre de local: Tienda de ropa anuncia liquidación y tendrá descuentos de h
2026-03-23 16:04:45 | INFO | httpx | HTTP Request: GET https://www.meganoticias.cl/nacional/517234-toma-san-felipe-yevide-ciudad-con-comercio-iglesias-discoteca-desalojo-17-03-2026.html "HTTP/1.1 200 OK"
2026-03-23 16:04:45 | INFO | backfill_excerpts | Excerpt actualizado noticia_id=1 fuente=Meganoticias title=De toma a "ciudad": Crece campamento en San Felipe con comercio, iglesias, spa, 
2026-03-23 16:04:45 | INFO | backfill_excerpts | Backfill finalizado resumen={'revisadas': 20, 'actualizadas': 19, 'sin_cambios': 1, 'errores': 0}
